"State","State.Abbreviation","Policy","Date","Group"
"Ohio","OH","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Ohio","OH","Closed.gyms",2020-03-17,"Lockdown"
"Ohio","OH","Closed.movie.theaters",2020-03-17,"Lockdown"
"Oklahoma","OK","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Oregon","OR","Closed.bars",2020-03-17,"Lockdown"
"Pennsylvania","PA","Closed.casinos",2020-03-17,"Lockdown"
"Rhode Island","RI","Closed.bars",2020-03-17,"Lockdown"
"Vermont","VT","Closed.bars",2020-03-17,"Lockdown"
"Washington","WA","Closed.K.12.public.schools",2020-03-17,"Lockdown"
"Washington","WA","Closed.bars",2020-03-17,"Lockdown"
"Wisconsin","WI","Closed.bars",2020-03-17,"Lockdown"
"Alaska","AK","Closed.restaurants",2020-03-18,"Lockdown"
"Alaska","AK","Closed.gyms",2020-03-18,"Lockdown"
"Alaska","AK","Closed.movie.theaters",2020-03-18,"Lockdown"
"Alaska","AK","Closed.bars",2020-03-18,"Lockdown"
"Georgia","GA","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"Kansas","KS","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"Kentucky","KY","Closed.gyms",2020-03-18,"Lockdown"
"Kentucky","KY","Closed.movie.theaters",2020-03-18,"Lockdown"
"Maine","ME","Closed.restaurants",2020-03-18,"Lockdown"
"Maine","ME","Closed.bars",2020-03-18,"Lockdown"
"Minnesota","MN","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"New Jersey","NJ","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"New York","NY","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"North Carolina","NC","Closed.restaurants",2020-03-18,"Lockdown"
"Oregon","OR","Closed.restaurants",2020-03-18,"Lockdown"
"Pennsylvania","PA","Closed.restaurants",2020-03-18,"Lockdown"
"Pennsylvania","PA","Closed.bars",2020-03-18,"Lockdown"
"Rhode Island","RI","Closed.restaurants",2020-03-18,"Lockdown"
"South Carolina","SC","Closed.bars",2020-03-18,"Lockdown"
"Vermont","VT","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"Vermont","VT","Closed.restaurants",2020-03-18,"Lockdown"
"West Virginia","WV","Closed.bars",2020-03-18,"Lockdown"
"West Virginia","WV","Closed.casinos",2020-03-18,"Lockdown"
"Wisconsin","WI","Closed.K.12.public.schools",2020-03-18,"Lockdown"
"Wisconsin","WI","Closed.restaurants",2020-03-18,"Lockdown"
"Alabama","AL","Closed.restaurants",2020-03-19,"Lockdown"
"Alabama","AL","Closed.bars",2020-03-19,"Lockdown"
"California","CA","Stay.at.home.shelter.in.place",2020-03-19,"Lockdown"
"California","CA","Closed.other.non.essential.businesses",2020-03-19,"Lockdown"
"California","CA","Closed.gyms",2020-03-19,"Lockdown"
"California","CA","Closed.movie.theaters",2020-03-19,"Lockdown"
"Colorado","CO","Closed.other.non.essential.businesses",2020-03-19,"Lockdown"
"Delaware","DE","Closed.gyms",2020-03-19,"Lockdown"
