"State","State.Abbreviation","Policy","Date","Group"
"Arkansas","AR","closing_movietheaters","3/20/2020","Lockdown"
"California","CA","closing_movietheaters","3/19/2020","Lockdown"
"Colorado","CO","closing_movietheaters","3/17/2020","Lockdown"
"Connecticut","CT","closing_movietheaters","3/16/2020","Lockdown"
"Delaware","DE","closing_movietheaters","3/19/2020","Lockdown"
"District of Columbia","DC","closing_movietheaters","3/17/2020","Lockdown"
"Florida","FL","closing_movietheaters","4/3/2020","Lockdown"
"Georgia","GA","closing_movietheaters","4/3/2020","Lockdown"
"Hawaii","HI","closing_movietheaters","3/17/2020","Lockdown"
"Idaho","ID","closing_movietheaters","3/25/2020","Lockdown"
"Illinois","IL","closing_movietheaters","3/21/2020","Lockdown"
"Indiana","IN","closing_movietheaters","3/25/2020","Lockdown"
"Iowa","IA","closing_movietheaters","3/17/2020","Lockdown"
"Kansas","KS","closing_movietheaters","3/30/2020","Lockdown"
"Kentucky","KY","closing_movietheaters","3/18/2020","Lockdown"
"Louisiana","LA","closing_movietheaters","3/17/2020","Lockdown"
"Maine","ME","closing_movietheaters","3/25/2020","Lockdown"
"Maryland","MD","closing_movietheaters","3/16/2020","Lockdown"
"Massachusetts","MA","closing_movietheaters","3/24/2020","Lockdown"
"Michigan","MI","closing_movietheaters","3/16/2020","Lockdown"
"Minnesota","MN","closing_movietheaters","3/17/2020","Lockdown"
"Mississippi","MS","closing_movietheaters","4/3/2020","Lockdown"
"Missouri","MO","closing_movietheaters","4/3/2020","Lockdown"
"Montana","MT","closing_movietheaters","3/20/2020","Lockdown"
"Nebraska","NE","closing_movietheaters","4/9/2020","Lockdown"
"Nevada","NV","closing_movietheaters","3/21/2020","Lockdown"
"New Hampshire","NH","closing_movietheaters","3/28/2020","Lockdown"
"New Jersey","NJ","closing_movietheaters","3/16/2020","Lockdown"
"New Mexico","NM","closing_movietheaters","3/19/2020","Lockdown"
"New York","NY","closing_movietheaters","3/16/2020","Lockdown"
"North Carolina","NC","closing_movietheaters","3/25/2020","Lockdown"
"North Dakota","ND","closing_movietheaters","3/20/2020","Lockdown"
