"date","state","time","Z_t","M_t","W_t_ma","ed","zed","ed2","sc","sh","rb","ob","old","meanold","cold","white","black","asian","hispanic"
2020-03-21,"Idaho",5,42,39.5714285714286,0.300469483568075,0,-0.689212740446557,4,0,0,0,0,0,3.08823529411765,-3.08823529411765,0.814,0.006,0.013,0.127
2020-03-22,"Idaho",6,47,55.5714285714286,0.404332129963899,0,-0.689212740446557,4,0,0,0,0,0,3.08823529411765,-3.08823529411765,0.814,0.006,0.013,0.127
2020-03-23,"Idaho",7,50,79.2857142857143,0.426735218508998,0,-0.689212740446557,4,0,0,0,0,0,3.08823529411765,-3.08823529411765,0.814,0.006,0.013,0.127
2020-03-24,"Idaho",8,73,108,0.362162162162162,0,-0.689212740446557,4,1,0,0,0,1,3.08823529411765,-2.08823529411765,0.814,0.006,0.013,0.127
2020-03-25,"Idaho",9,123,139.428571428571,0.291005291005291,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-26,"Idaho",10,189,177,0.269467213114754,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-27,"Idaho",11,232,229.142857142857,0.294592413236481,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-28,"Idaho",12,262,293.857142857143,0.282418952618454,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-29,"Idaho",13,310,371.857142857143,0.265435099659699,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-30,"Idaho",14,415,472.142857142857,0.269688820591625,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-31,"Idaho",15,526,583.571428571429,0.236006051437216,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-01,"Idaho",16,669,699.857142857143,0.199265605875153,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-02,"Idaho",17,891,812.714285714286,0.161257399469279,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-03,"Idaho",18,1012,920.571428571429,0.132712251713834,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-04,"Idaho",19,1076,1018.28571428571,0.106145251396648,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-05,"Idaho",20,1100,1098.71428571429,0.0789842873176207,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-06,"Idaho",21,1170,1166.57142857143,0.0617604992848785,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-07,"Idaho",22,1210,1225.57142857143,0.0505755571883419,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-08,"Idaho",23,1232,1277.28571428571,0.0421960601468701,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-09,"Idaho",24,1366,1328.28571428571,0.0399284196398613,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-10,"Idaho",25,1425,1375.28571428571,0.0353839535383954,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-11,"Idaho",26,1438,1422.14285714286,0.0340708424223538,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-12,"Idaho",27,1457,1472.85714285714,0.0356604721245606,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-13,"Idaho",28,1499,1507.57142857143,0.0235693501454899,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-14,"Idaho",29,1538,1540.42857142857,0.0217947503079692,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-15,"Idaho",30,1587,1573.28571428571,0.0213298710933878,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-16,"Idaho",31,1609,1604,0.0195223826386998,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-17,"Idaho",32,1655,1637.85714285714,0.0211079444246527,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-18,"Idaho",33,1668,1670.42857142857,0.0198866114260793,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-04-19,"Idaho",34,1672,1701.14285714286,0.0183870691866929,0,-0.689212740446557,4,1,1,1,1,4,3.08823529411765,0.911764705882353,0.814,0.006,0.013,0.127
2020-03-17,"Illinois",1,159,244.571428571429,0.457021276595745,45,2.77193220337149,8,1,0,1,1,3,3.88235294117647,-0.882352941176471,0.608,0.139,0.055,0.172
2020-03-18,"Illinois",2,286,342.428571428571,0.400116822429907,45,2.77193220337149,8,1,0,1,1,3,3.88235294117647,-0.882352941176471,0.608,0.139,0.055,0.172
2020-03-19,"Illinois",3,420,478.571428571429,0.397580308719232,45,2.77193220337149,8,1,0,1,1,3,3.88235294117647,-0.882352941176471,0.608,0.139,0.055,0.172
2020-03-20,"Illinois",4,583,647.285714285714,0.352537313432836,45,2.77193220337149,8,1,0,1,1,3,3.88235294117647,-0.882352941176471,0.608,0.139,0.055,0.172
2020-03-21,"Illinois",5,751,843.857142857143,0.303685720591481,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-22,"Illinois",6,1047,1070.71428571429,0.268833587269341,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-23,"Illinois",7,1285,1373.28571428571,0.282588392261508,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-24,"Illinois",8,1535,1722.71428571429,0.254447102881515,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-25,"Illinois",9,1874,2122.14285714286,0.23186002156066,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-26,"Illinois",10,2538,2631.85714285714,0.240188488724335,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-27,"Illinois",11,3029,3172.57142857143,0.205449709602128,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-28,"Illinois",12,3547,3809.28571428571,0.200693443804035,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-29,"Illinois",13,4615,4538.42857142857,0.191411963247703,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-30,"Illinois",14,5070,5275.14285714286,0.162328055651736,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-03-31,"Illinois",15,5992,6114.42857142857,0.159101987759302,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-01,"Illinois",16,6978,7087.28571428571,0.15910843204598,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-02,"Illinois",17,7695,8038.85714285714,0.134264578420108,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-03,"Illinois",18,8904,9066.28571428571,0.127807790730736,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-04,"Illinois",19,10357,10145.8571428571,0.119075381318543,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-05,"Illinois",20,11276,11303,0.114050773714817,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-06,"Illinois",21,12262,12549.7142857143,0.110299414820339,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-07,"Illinois",22,13549,13833,0.102256169747746,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-08,"Illinois",23,15078,15093.4285714286,0.0911175140192706,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-09,"Illinois",24,16422,16461.4285714286,0.0906354704980409,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-10,"Illinois",25,17887,17856.1428571429,0.0847261997743643,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-11,"Illinois",26,19180,19241.5714285714,0.0775883449473169,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-12,"Illinois",27,20852,20600.8571428571,0.0706431758617873,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-13,"Illinois",28,22025,21931.1428571429,0.0645742895579936,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-14,"Illinois",29,23247,23315.1428571429,0.0631066063914329,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
2020-04-15,"Illinois",30,24593,24740.8571428571,0.0611497126331138,45,2.77193220337149,8,1,1,1,1,4,3.88235294117647,0.117647058823529,0.608,0.139,0.055,0.172
