State,State Abbreviation,,Began to reopen businesses statewide,,Reopened restaurants,,Reopened gyms,,Reopened movie theaters,,Reopened hair salons/barber shops,,Reopened other non-essential retail,,Reopened bars,,Reopened casinos
North Dakota,ND,reopening_business,5/1/2020,reopening_restaurants,5/1/2020,reopening_gyms,5/1/2020,reopening_movietheaters,5/1/2020,reopening_hairsalons,5/1/2020,reopening_neretail,5/1/2020,reopening_bars,5/1/2020,reopening_casinos,0
Ohio,OH,reopening_business,5/4/2020,reopening_restaurants,5/15/2020,reopening_gyms,5/22/2020,reopening_movietheaters,6/10/2020,reopening_hairsalons,5/15/2020,reopening_neretail,5/12/2020,reopening_bars,5/15/2020,reopening_casinos,0
Oklahoma,OK,reopening_business,4/24/2020,reopening_restaurants,5/1/2020,reopening_gyms,5/1/2020,reopening_movietheaters,5/1/2020,reopening_hairsalons,4/24/2020,reopening_neretail,4/24/2020,reopening_bars,5/15/2020,reopening_casinos,0
Oregon,OR,reopening_business,5/15/2020,reopening_restaurants,6/19/2020,reopening_gyms,6/19/2020,reopening_movietheaters,1/29/2021,reopening_hairsalons,6/19/2020,reopening_neretail,5/15/2020,reopening_bars,6/19/2020,reopening_casinos,0
Pennsylvania,PA,reopening_business,6/5/2020,reopening_restaurants,6/5/2020,reopening_gyms,7/3/2020,reopening_movietheaters,7/3/2020,reopening_hairsalons,7/3/2020,reopening_neretail,6/5/2020,reopening_bars,6/5/2020,reopening_casinos,6/9/2020
Rhode Island,RI,reopening_business,5/9/2020,reopening_restaurants,5/18/2020,reopening_gyms,6/1/2020,reopening_movietheaters,6/30/2020,reopening_hairsalons,6/1/2020,reopening_neretail,5/9/2020,reopening_bars,6/1/2020,reopening_casinos,6/8/2020
South Carolina,SC,reopening_business,4/20/2020,reopening_restaurants,5/4/2020,reopening_gyms,5/18/2020,reopening_movietheaters,8/3/2020,reopening_hairsalons,5/18/2020,reopening_neretail,4/20/2020,reopening_bars,5/4/2020,reopening_casinos,5/22/2020
South Dakota,SD,reopening_business,0,reopening_restaurants,0,reopening_gyms,0,reopening_movietheaters,0,reopening_hairsalons,0,reopening_neretail,0,reopening_bars,0,reopening_casinos,0
Tennessee,TN,reopening_business,4/27/2020,reopening_restaurants,4/27/2020,reopening_gyms,5/1/2020,reopening_movietheaters,5/22/2020,reopening_hairsalons,5/6/2020,reopening_neretail,4/27/2020,reopening_bars,5/22/2020,reopening_casinos,0
Texas,TX,reopening_business,5/1/2020,reopening_restaurants,5/1/2020,reopening_gyms,5/18/2020,reopening_movietheaters,5/1/2020,reopening_hairsalons,5/8/2020,reopening_neretail,5/1/2020,reopening_bars,5/29/2020,reopening_casinos,0
Utah,UT,reopening_business,5/1/2020,reopening_restaurants,5/1/2020,reopening_gyms,5/1/2020,reopening_movietheaters,5/1/2020,reopening_hairsalons,5/1/2020,reopening_neretail,5/1/2020,reopening_bars,5/1/2020,reopening_casinos,0
Vermont,VT,reopening_business,4/27/2020,reopening_restaurants,5/22/2020,reopening_gyms,6/1/2020,reopening_movietheaters,6/1/2020,reopening_hairsalons,5/29/2020,reopening_neretail,4/27/2020,reopening_bars,5/22/2020,reopening_casinos,0
Virginia,VA,reopening_business,5/29/2020,reopening_restaurants,5/29/2020,reopening_gyms,6/12/2020,reopening_movietheaters,7/1/2020,reopening_hairsalons,5/29/2020,reopening_neretail,5/29/2020,reopening_bars,5/29/2020,reopening_casinos,0
Washington,WA,reopening_business,6/1/2020,reopening_restaurants,7/3/2020,reopening_gyms,8/27/2020,reopening_movietheaters,2/14/2021,reopening_hairsalons,7/3/2020,reopening_neretail,7/3/2020,reopening_bars,7/3/2020,reopening_casinos,0
West Virginia,WV,reopening_business,5/4/2020,reopening_restaurants,5/4/2020,reopening_gyms,5/18/2020,reopening_movietheaters,6/5/2020,reopening_hairsalons,5/4/2020,reopening_neretail,5/21/2020,reopening_bars,5/26/2020,reopening_casinos,6/5/2020
Wisconsin,WI,reopening_business,5/11/2020,reopening_restaurants,5/13/2020,reopening_gyms,5/13/2020,reopening_movietheaters,5/13/2020,reopening_hairsalons,5/13/2020,reopening_neretail,5/11/2020,reopening_bars,5/13/2020,reopening_casinos,0
Wyoming,WY,reopening_business,5/1/2020,reopening_restaurants,5/15/2020,reopening_gyms,5/1/2020,reopening_movietheaters,5/15/2020,reopening_hairsalons,5/1/2020,reopening_neretail,5/15/2020,reopening_bars,5/15/2020,reopening_casinos,0
